filename_in,filename_out
84791.tiff,UofA_WW2_Italy_50k_089_III.tif
84792.tiff,UofA_WW2_Italy_50k_089_IV.tif
84793.tiff,UofA_WW2_Italy_50k_092_III.tif
84794.tiff,UofA_WW2_Italy_50k_140_III.tif
84795.tiff,UofA_WW2_Italy_50k_142_II.tif
84796.tiff,UofA_WW2_Italy_50k_143_I.tif
84797.tiff,UofA_WW2_Italy_50k_262_II.tif
84798.tiff,UofA_WW2_Italy_50k_262_III_eng.tif
84799.tiff,UofA_WW2_Italy_50k_262_III_ita.tif
84800.tiff,UofA_WW2_Italy_50k_262_IV.tif
84801.tiff,UofA_WW2_Italy_50k_199_IV.tif
84802.tiff,UofA_WW2_Italy_50k_200_I.tif
84803.tiff,UofA_WW2_Italy_50k_200_II.tif
84804.tiff,UofA_WW2_Italy_50k_200_III.tif
84805.tiff,UofA_WW2_Italy_50k_201_IV.tif
84806.tiff,UofA_WW2_Italy_50k_202_I.tif
84807.tiff,UofA_WW2_Italy_50k_202_II.tif
84808.tiff,UofA_WW2_Italy_50k_202_III.tif
84809.tiff,UofA_WW2_Italy_50k_204_IV.tif
84810.tiff,UofA_WW2_Italy_50k_205_I.tif
84811.tiff,UofA_WW2_Italy_50k_205_II.tif
84812.tiff,UofA_WW2_Italy_50k_206_I.tif
84813.tiff,UofA_WW2_Italy_50k_207_II.tif
84814.tiff,UofA_WW2_Italy_50k_207_III.tif
84815.tiff,UofA_WW2_Italy_50k_207_IV.tif
84816.tiff,UofA_WW2_Italy_50k_208_II.tif
84817.tiff,UofA_WW2_Italy_50k_145_IV.tif
84818.tiff,UofA_WW2_Italy_50k_147_II.tif
84819.tiff,UofA_WW2_Italy_50k_147_III.tif
84820.tiff,UofA_WW2_Italy_50k_147_IV.tif
84821.tiff,UofA_WW2_Italy_50k_210_I.tif
84822.tiff,UofA_WW2_Italy_50k_210_II.tif
84823.tiff,UofA_WW2_Italy_50k_211_I.tif
84824.tiff,UofA_WW2_Italy_50k_211_II.tif
84825.tiff,UofA_WW2_Italy_50k_212_IV.tif
84826.tiff,UofA_WW2_Italy_50k_213_IV.tif
84827.tiff,UofA_WW2_Italy_50k_214_II.tif
84828.tiff,UofA_WW2_Italy_50k_214_III.tif
84829.tiff,UofA_WW2_Italy_50k_150_II.tif
84830.tiff,UofA_WW2_Italy_50k_150_III.tif
84831.tiff,UofA_WW2_Italy_50k_151_I.tif
84832.tiff,UofA_WW2_Italy_50k_151_II.tif
84833.tiff,UofA_WW2_Italy_50k_217_II.tif
84834.tiff,UofA_WW2_Italy_50k_217_III.tif
84835.tiff,UofA_WW2_Italy_50k_217_IV.tif
84836.tiff,UofA_WW2_Italy_50k_218_I.tif
84837.tiff,UofA_WW2_Italy_50k_219_IV.tif
84838.tiff,UofA_WW2_Italy_50k_220_II.tif
84839.tiff,UofA_WW2_Italy_50k_220_I_and_IV.tif
84840.tiff,UofA_WW2_Italy_50k_221_I.tif
84841.tiff,UofA_WW2_Italy_50k_152_III.tif
84842.tiff,UofA_WW2_Italy_50k_152_IV.tif
84843.tiff,UofA_WW2_Italy_50k_153_I.tif
84844.tiff,UofA_WW2_Italy_50k_153_II.tif
84845.tiff,UofA_WW2_Italy_50k_222_IV.tif
84846.tiff,UofA_WW2_Italy_50k_223_IV.tif
84847.tiff,UofA_WW2_Italy_50k_226_I.tif
84848.tiff,UofA_WW2_Italy_50k_226_II.tif
84849.tiff,UofA_WW2_Italy_50k_228_I.tif
