MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS,METRIC: PAGEVIEWS,"ITEM=1, COLLECTION=2",IDENTIFIER,PARENT DIRECTORY,TOP-LEVEL COLLECTION,TIMERANGE: From 365daysAgo to 20181025,,,,Collection,9839,81038,77266,71369,49596,66648,81271,81131,81117,82248,5946,81951,21508,70033,81142,77271,34,66649,81115,
,,,,,,,,,,,,,Sum of Item Pageviews,8539,442,91,25312,11739,887,60,797,304,231,173,385,17363,53,385,20,55029,65693,179,187682
3963,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3963,'[Coblentz] 6 | Digital Archive @ McMaster University Library',2,2,1,427WW1MAP,70659,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
3964,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3964,'Brussels 6 | Digital Archive @ McMaster University Library',11,11,1,402WW1MAP,70212,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
3965,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3965,'[Miraumont 57d.NE] | Digital Archive @ McMaster University Library',7,9,1,200WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
3966,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3966,'Gaza--Shellal: Secret | Digital Archive @ McMaster University Library',25,47,1,282WW1MAP,74931,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,
3967,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3967,'Beauvais 21 | Digital Archive @ McMaster University Library',5,5,1,139WW1MAP,70212,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
3968,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3968,'[Amiens] 62e | Digital Archive @ McMaster University Library',17,24,1,394WW1MAP,74944,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,
3969,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3969,'[Lens] 36c.SW | Digital Archive @ McMaster University Library',12,19,1,363WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,
3970,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3970,'[Arras] 51b Enemy Organizations 25-8-18 | Digital Archive @ McMaster University Library',32,35,1,062WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,
3971,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3971,'[Bertincourt] 57c.SE Enemy Organisation 21-8-18 | Digital Archive @ McMaster University Library',15,16,1,079WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
3972,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3972,'Bethune [Battle of Neuve Chapelle] | Digital Archive @ McMaster University Library',45,65,1,212WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,
3973,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3973,'Third Army Weekly Trench Map (Sunday): Cherisy Parts of 51b.SW.2 and 4 | Digital Archive @ McMaster University Library',11,11,1,154WW1MAP,75202,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
3974,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3974,'First Army Area: Distribution of German Forces 01-08-16 | Digital Archive @ McMaster University Library',22,47,1,145WW1MAP,74940,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,
3975,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3975,'[Peronne] 62c | Digital Archive @ McMaster University Library',18,24,1,391WW1MAP,74944,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,
3976,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3976,'[Albert] 57d | Digital Archive @ McMaster University Library',5,6,1,173WW1MAP,74944,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
3977,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3977,'Vimy 36c.SW.3 | Digital Archive @ McMaster University Library',15,21,1,109WW1MAP,74945,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,
3978,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3978,'[Combles] 57c.SW | Digital Archive @ McMaster University Library',5,9,1,090WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
3979,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3979,'Meteren [27.SE.4] | Digital Archive @ McMaster University Library',23,39,1,070WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,
3980,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3980,'Fejja: Secret | Digital Archive @ McMaster University Library',28,45,1,260WW1MAP,74931,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,
3981,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3981,'Arras 51b.NW.3 | Digital Archive @ McMaster University Library',16,17,1,119WW1MAP,74945,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
3982,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3982,'[Strasbourg] 12 | Digital Archive @ McMaster University Library',9,38,1,432WW1MAP,70659,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,
3983,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3983,'[Albert] 57d Secret | Digital Archive @ McMaster University Library',28,36,1,022WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,
